name,state,address,phone,type,lat,lon,photo,opening_event
Anchorage,AK,"3101 Penland Pkwy., Anchorage, AK 99508 (Suite G29)",-,office,61.216992,-149.820258,http://i.imgur.com/G5Fy6yM.png,
Fairbanks,AK,"542 4th Ave., Fairbanks, AK 99701 (Suite B101)",-,office,64.842485,-147.719475,http://i.imgur.com/gzp8dyY.png,
Juneau,AK,"216 Second St., Juneau, AK 99801",-,office,58.301079,-134.408396,http://i.imgur.com/E5ftmOd.png,
Kenai Peninsula,AK,"105 Trading Bay Rd., Kenai, AK 99611",-,office,60.559782,-151.247133,http://i.imgur.com/i8FHQDB.png,
Mat-Su Valley,AK,"613 S. Knik-Goose Bay Rd., Wasilla, AK 99654",-,office,61.577269,-149.438367,http://i.imgur.com/PH3PTwo.png,
Phoenix,AZ,"1301 E. Washington St., Phoenix, AZ 85034",(602) 354-5179,office,33.447948,-112.053936,http://i.imgur.com/qdEZ7Pl.png,
Tucson,AZ,"1832 East 6th St., Tucson, AZ 85719",(520) 268-4282,office,32.22758,-110.944296,http://i.imgur.com/x3mk6mF.png,
Denver,CO,"7235 E Colfax Ave., Denver, CO 80220",(303) 321-0089,office,39.740504,-104.90419,http://i.imgur.com/j1GzpG8.png,
"Washington, D.C.",DC,"312 Massachusetts Ave. NE, Washington, DC 20002",(202) 506-5831,office,38.8943255,-77.0013426,http://imgur.com/zJuvxXJ.png,
Hilo,HI,"475 Kinoole St., Hilo, HI 96720",(520) 328-9646,office,19.720605,-155.085933,http://i.imgur.com/VWaxncl.png,
Honolulu,HI,"1050 Ala Moana Blvd., Honolulu, HI 96814 (Suite 2500)",(630) 200-5611,office,21.2951,-157.857177,http://i.imgur.com/KtBu1JE.png,
Council Bluffs,IA,"500 West Broadway, Council Bluffs, IA 51503",(712) 323-7232,office,41.2612218,-95.8499378,http://i.imgur.com/F9AExrf.png,
Davenport,IA,"736 Federal St., Davenport, IA 52801",(563) 323-0559,office,41.5247596,-90.5633143,http://i.imgur.com/zAxjGHT.png,
Des Moines,IA,"3839 Merle Hay, Des Moines, IA 50310",(515) 251-6335,office,41.6308099,-93.697183,http://i.imgur.com/BVPuA37.png,
Boise,ID,"280 N. 8th St., Boise, ID 83702 (Suite 118)",(843) 250-9021,office,43.616914,-116.201815,http://i.imgur.com/yAckA0H.png,
Moscow,ID,"110 S Main St., Moscow, ID 83843",-,office,46.733308,-117.001173,http://i.imgur.com/8dbSx07.png,
Flint,MI,"600 Harrison St., Flint, MI 48502",(989) 859-6649,office,43.015388,-83.688789,http://i.imgur.com/7uYEPPX.png,
Lewiston,ME,"110 Lisbon St., Lewiston, ME 04240",(207) 650-9025,office,44.096876,-70.21732,http://i.imgur.com/Ldk9qxC.png,
Portland,ME,"465 Congress St., Portland, ME 04101",(207) 956-3979,office,43.657448,-70.259479,http://i.imgur.com/4QVKdfj.png,
Manchester,NH,"835 Hanover St., Manchester, NH 03104",(603) 935-9084 ,office,42.9873012,-71.4294765,http://i.imgur.com/t8aTBLA.png,
Reno,NV,"1155 West 4th St., Reno, NV 89503",-,office,39.526454,-119.828996,http://i.imgur.com/EpaCQYi.png,
Las Vegas,NV,"4440 S. Maryland Parkway, Las Vegas, NV 89119",-,office,36.10884,-115.137068,http://i.imgur.com/2sEjkZ4.png,
Harrisburg,PA,"265 Reily St., Harrisburg, PA 17102",-,office,40.271218,-76.891201,http://i.imgur.com/PFU0wVN.png,
Pittsburgh,PA,"1317 E Carson St., Pittsburgh, PA 15203",-,office,40.429123,-79.98452,http://i.imgur.com/0OkFFGG.png,
Scranton,PA,"207 N Washington Ave., Scranton, PA 18503",-,office,41.408244,-75.663589,http://i.imgur.com/P7bCctf.png,
State College,PA,"426 S Allen St., State College, PA 16801",-,office,40.791571,-77.857086,http://i.imgur.com/lLVVWQ9.png,
Salt Lake City,UT,"17 400 S, Salt Lake City, UT 84111",(385) 223-6954,office,40.760939,-111.890384,http://i.imgur.com/FvoyGBM.png,
Utah County,UT,"910 West State Rd., Lehi, UT 84043",-,office,40.409638,-111.864224,http://i.imgur.com/7d4MHql.png,
Burlington,VT,"131 Church St., Burlington, VT 05401",(855) 423-7643,office,44.476761,-73.212811,http://i.imgur.com/ZdZHJ6C.png,
Bellingham,WA,"105 E Holly St., Bellingham, WA 98229",(801) 663-3051,office,48.749554,-122.478786,http://i.imgur.com/xxz9584.png,
Seattle - Downtown,WA,"617 E Pike St., Seattle, WA 98122",(559) 579-2734,office,47.613935,-122.323587,http://i.imgur.com/ygJMUfs.png,
Seattle - North,WA,"11742 15th Ave. NE, Seattle, WA 98125",(304) 541-7428,office,47.714786,-122.31251,http://i.imgur.com/CuTX1Tq.png,
Spokane,WA,"2209 N Monroe St., Spokane, WA 99205",(630) 621-5398,office,47.677977,-117.426839,http://i.imgur.com/cy83hrV.png,
Tacoma,WA,"5631 Tacoma Mall Blvd., Tacoma, WA",(217) 799-2459,office,47.205366,-122.463473,http://i.imgur.com/M7aWaDL.png,
Vancouver,WA,"400 E Evergreen Blvd., Vancouver, WA 98660",(303) 881-8429,office,45.62937,-122.66794,http://i.imgur.com/DRsLVrO.png,
Yakima,WA,"116 Pendleton Way, Yakima, WA 98901",(323) 485-4017,office,46.603539,-120.50646,http://imgur.com/KYTpIE4.png,
Green Bay,WI,"163 N. Broadway, Green Bay, WI 54303",-,office,44.51806,-88.021151,http://i.imgur.com/lTt0LLS.png,
Madison,WI,"122 State St., Madison, WI 53711",-,office,43.075041,-89.387383,http://i.imgur.com/m1GJRq6.png,
Milwaukee,WI,"1816 N Marshall St., Milwaukee, WI 53202",-,office,43.054693,-87.900788,http://i.imgur.com/BXArBrV.png,
Laramie,WY,"111 Grand Ave., Laramie, WY 82072",-,office,41.311307,-105.595745,http://i.imgur.com/zDCBSHk.png,
