state,name,registration_deadline,voting_day,type,is_open,you_must
CT,Connectictut,4/21/2016,4/26/2016,primaries,open,Connecticuters must register as a Democrat to vote for Bernie!
OR,Oregon,4/26/2016,5/17/2016,primaries,closed,Oregonians must register as a Democrat to vote for Bernie!
NM,New Mexico,5/10/2016,6/7/2016,primaries,closed,New Mexicans must register as a Democrat to vote for Bernie!
DC,Washington D.C.,5/23/2016,6/14/2016,primaries,semi-closed,D.C. residents must register as a Democrat to vote for Bernie!
NJ,New Jersey,5/17/2016,6/7/2016,primaries,closed,"New Jerseyans must register as a Democrat to vote for Bernie! However, unaffiliated voters can declare their affiliation with the Democratic Party any time up to (and including) election day."
CA,California,5/23/2016,6/7/2016,primaries,semi-closed,"Californians must register as a Democrat or ""no party preference"" to vote for Bernie!"
SD,South Dakota,5/23/2016,6/7/2016,primaries,semi-closed,South Dakotans must be registered as a Democrat or independent to vote for Bernie Sanders!
MT,Montana,1/1/2016,6/7/2016,primaries,open,"Montanans can vote for Bernie Sanders regardless of their registered party. Montana has Same-Day Registration which allows you to register to vote at the primaries on Tue, June 7."
ND,North Dakota,1/1/2016,6/7/2016,caucuses,open,"Any North Dakotan that intends to support the Democratic Party in the 2016 election can vote for Bernie Sanders, regardless of registration status."
KY,Kentucky,4/18/2016,5/17/2016,primaries,closed,Kentuckians must register as a Democrat to vote for Bernie!
IN,Indiana,4/4/2016,5/3/2016,primaries,open,Hoosiers can vote for Bernie Sanders regardless of their registered party
PA,Pennsylvania,3/28/2016,4/26/2016,primaries,closed,Pennsylvanians must register as a Democrat to vote for Bernie!
WV,West Virginia,4/19/2016,5/10/2016,primaries,semi-closed,West Virginians must register as a Democrat or undeclared to vote for Bernie!
DE,Delaware,4/2/2016,4/26/2016,primaries,closed,Delawareans must register as a Democrat to vote for Bernie!
MD,Maryland,4/5/2016,4/26/2016,primaries,closed,Marylanders must register as a Democrat to vote for Bernie!
RI,Rhode Island,3/27/2016,4/26/2016,primaries,semi-closed,Rhode Islanders must register as a Democrat or undeclared to vote for Bernie
