zip,primary_city,state,old_lat,old_long,lon,lat,isnull
00544,Holtsville,NY,40.81,-73.04,-72.637,40.922,FALSE
00601,Adjuntas,PR,18.16,-66.72,-66.723,18.165,FALSE
00602,Aguada,PR,18.38,-67.18,-67.181,18.393,FALSE
00603,Aguadilla,PR,18.43,-67.15,-67.146,18.456,FALSE
00604,Aguadilla,PR,18.43,-67.15,-67.136,18.494,FALSE
00605,Aguadilla,PR,18.43,-67.15,-67.141,18.465,FALSE
00606,Maricao,PR,18.18,-66.98,-66.944,18.173,FALSE
00610,Anasco,PR,18.28,-67.14,-67.14,18.289,FALSE
00611,Angeles,PR,18.28,-66.79,-66.802,18.28,FALSE
00612,Arecibo,PR,18.45,-66.73,-66.698,18.451,FALSE
00613,Arecibo,PR,18.45,-66.73,-66.733,18.458,FALSE
00614,Arecibo,PR,18.45,-66.73,-66.675,18.43,FALSE
00616,Bajadero,PR,18.4,-66.66,-66.641,18.445,FALSE
00617,Barceloneta,PR,18.45,-66.53,-66.544,18.447,FALSE
00622,Boqueron,PR,17.99,-67.15,-67.187,17.999,FALSE
00623,Cabo Rojo,PR,18.08,-67.14,-67.15,18.062,FALSE
00624,Penuelas,PR,18.06,-66.72,-66.726,18.024,FALSE
00627,Camuy,PR,18.48,-66.84,-66.855,18.478,FALSE
00631,Castaner,PR,18.19,-66.82,-66.865,18.269,FALSE
00636,Rosario,PR,18.15,-67.06,-67.04,18.113,FALSE
00637,Sabana Grande,PR,18.08,-66.96,-66.935,18.087,FALSE
00638,Ciales,PR,18.33,-66.47,-66.472,18.336,FALSE
00641,Utuado,PR,18.27,-66.7,-66.699,18.25,FALSE
00646,Dorado,PR,18.47,-66.27,-66.282,18.436,FALSE
00647,Ensenada,PR,17.96,-66.94,-66.94,17.97,FALSE
00650,Florida,PR,18.36,-66.56,-66.562,18.36,FALSE
00652,Garrochales,PR,18.45,-66.6,-66.603,18.457,FALSE
00653,Guanica,PR,17.97,-66.93,-66.899,17.972,FALSE
00656,Guayanilla,PR,18.02,-66.79,-66.787,18.023,FALSE
00659,Hatillo,PR,18.48,-66.82,-66.809,18.481,FALSE
00660,Hormigueros,PR,18.14,-67.12,-67.135,18.145,FALSE
00662,Isabela,PR,18.5,-67.02,-67.028,18.48,FALSE
00664,Jayuya,PR,18.22,-66.59,-66.598,18.218,FALSE
00667,Lajas,PR,18.04,-67.06,-67.056,18.015,FALSE
00669,Lares,PR,18.29,-66.88,-66.882,18.296,FALSE
00670,Las Marias,PR,18.27,-67.06,-66.991,18.252,FALSE
00674,Manati,PR,18.43,-66.48,-66.49,18.446,FALSE
00676,Moca,PR,18.39,-67.11,-67.081,18.384,FALSE
00677,Rincon,PR,18.34,-67.25,-67.253,18.336,FALSE
00678,Quebradillas,PR,18.47,-66.93,-66.934,18.453,FALSE
00680,Mayaguez,PR,18.2,-67.14,-67.508,18.219,FALSE
00681,Mayaguez,PR,18.2,-67.14,-67.508,18.219,FALSE
00682,Mayaguez,PR,18.2,-67.14,-67.508,18.219,FALSE
00683,San German,PR,18.08,-67.04,-67.04,18.113,FALSE
00685,San Sebastian,PR,18.33,-66.99,-66.972,18.324,FALSE
00687,Morovis,PR,18.32,-66.4,-66.415,18.317,FALSE
00688,Sabana Hoyos,PR,18.38,-66.62,-66.675,18.43,FALSE
00690,San Antonio,PR,18.49,-67.09,-67.14,18.476,FALSE
00692,Vega Alta,PR,18.41,-66.32,-66.339,18.436,FALSE
00693,Vega Baja,PR,18.44,-66.39,-66.398,18.443,FALSE
00694,Vega Baja,PR,18.44,-66.39,-66.398,18.443,FALSE
00698,Yauco,PR,18.03,-66.86,-66.861,18.061,FALSE
00703,Aguas Buenas,PR,18.25,-66.1,-66.128,18.25,FALSE
00704,Aguirre,PR,17.96,-66.22,-66.139,17.992,FALSE
00705,Aibonito,PR,18.14,-66.26,-66.269,18.128,FALSE
00707,Maunabo,PR,18,-65.9,-65.899,18.007,FALSE
00714,Arroyo,PR,17.97,-66.06,-66.041,17.968,FALSE
00715,Mercedita,PR,18,-66.56,-66.564,18.012,FALSE
00716,Ponce,PR,17.98,-66.6,-66.607,18.002,FALSE
00717,Ponce,PR,17.98,-66.6,-66.607,18.002,FALSE
00718,Naguabo,PR,18.21,-65.73,-65.778,18.221,FALSE
00719,Naranjito,PR,18.3,-66.24,-66.23,18.298,FALSE
00720,Orocovis,PR,18.22,-66.39,-66.394,18.227,FALSE
00721,Palmer,PR,18.37,-65.77,-65.778,18.364,FALSE
00723,Patillas,PR,18,-66.01,-66.011,18.01,FALSE
00725,Caguas,PR,18.23,-66.03,-66.058,18.213,FALSE
00726,Caguas,PR,18.23,-66.03,-66.058,18.213,FALSE
00727,Caguas,PR,18.23,-66.03,18.23,-66.03,FALSE
00728,Ponce,PR,17.98,-66.6,-66.607,18.002,FALSE
00729,Canovanas,PR,18.37,-65.9,-65.884,18.333,FALSE
00730,Ponce,PR,17.98,-66.6,-66.607,18.002,FALSE
00731,Ponce,PR,17.98,-66.6,-66.626,18.038,FALSE
00732,Ponce,PR,17.98,-66.6,-66.614,18.022,FALSE
00733,Ponce,PR,17.98,-66.6,-66.619,18.019,FALSE
00734,Ponce,PR,17.98,-66.6,-66.644,17.999,FALSE
00735,Ceiba,PR,18.26,-65.64,-65.595,18.265,FALSE
00736,Cayey,PR,18.11,-66.16,-66.139,18.103,FALSE
00737,Cayey,PR,18.11,-66.16,-66.139,18.103,FALSE
00738,Fajardo,PR,18.33,-65.65,-65.611,18.359,FALSE
00739,Cidra,PR,18.17,-66.15,-66.17,18.181,FALSE
00740,Puerto Real,PR,18.33,-65.63,-65.639,18.332,FALSE
00741,Punta Santiago,PR,18.15,-65.76,-65.753,18.162,FALSE
00742,Roosevelt Roads,PR,18.27,-65.65,-65.595,18.265,FALSE
00744,Rio Blanco,PR,18.22,-65.79,-65.743,18.206,FALSE
00745,Rio Grande,PR,18.38,-65.83,-65.817,18.367,FALSE
00751,Salinas,PR,17.97,-66.29,-66.265,17.999,FALSE
00754,San Lorenzo,PR,18.19,-65.96,-65.962,18.188,FALSE
00757,Santa Isabel,PR,17.97,-66.4,-66.396,17.991,FALSE
00765,Vieques,PR,18.42,-65.83,-65.46,18.123,FALSE
00766,Villalba,PR,18.13,-66.48,-66.497,18.121,FALSE
00767,Yabucoa,PR,18.04,-65.87,-65.887,18.046,FALSE
00769,Coamo,PR,18.08,-66.36,-66.351,18.096,FALSE
00771,Las Piedras,PR,18.18,-65.86,-65.872,18.197,FALSE
00772,Loiza,PR,18.43,-65.88,-65.899,18.447,FALSE
00773,Luquillo,PR,18.37,-65.71,-65.708,18.366,FALSE
00775,Culebra,PR,18.31,-65.3,-65.296,18.324,FALSE
00777,Juncos,PR,18.22,-65.91,-65.902,18.206,FALSE
00778,Gurabo,PR,18.25,-65.97,-65.975,18.259,FALSE
00780,Coto Laurel,PR,18.09,-66.57,-66.607,18.002,FALSE
00782,Comerio,PR,18.22,-66.22,-66.22,18.225,FALSE
00783,Corozal,PR,18.34,-66.31,-66.331,18.304,FALSE
00784,Guayama,PR,17.97,-66.11,-66.139,17.992,FALSE
00785,Guayama,PR,17.97,-66.11,-66.796,18.019,FALSE
00786,La Plata,PR,18.16,-66.23,-66.269,18.128,FALSE
00791,Humacao,PR,18.15,-65.81,-65.788,18.138,FALSE
00792,Humacao,PR,18.15,-65.81,-65.788,18.138,FALSE
00794,Barranquitas,PR,18.18,-66.3,-66.307,18.201,FALSE
00795,Juana Diaz,PR,18.05,-66.5,-66.493,17.997,FALSE
00801,St Thomas,VI,18.35,-64.93,-64.964,18.322,FALSE
00802,St Thomas,VI,18.35,-64.93,-64.964,18.322,FALSE
00803,St Thomas,VI,18.35,-64.93,-64.964,18.322,FALSE
00804,St Thomas,VI,18.35,-64.93,-64.964,18.322,FALSE
00805,St Thomas,VI,18.34,-64.93,-64.964,18.322,FALSE
00820,Christiansted,VI,17.74,-64.7,-64.735,17.734,FALSE
