id,title,type,address,city,zip,lat,lon,date,starttime,organizer,organizer_url,link,hide,
1,Chelsea Meetup for Bernie,CW,Jake's Saloon 206 West 23rd Street New York NY ,NY,NONE,40.75,-73.98999786,8/3/2015,6:00 PM,NYC4Bernie,http://www.meetup.com/NYCforBERNIE,http://www.meetup.com/NYCforBERNIE/events/223923219/,,
2,Campaign for Bernie,CW,31st Street Beach 31st St And Lake Shore Dr Chicago ,NONE,NONE,41.838589,-87.608337,8/3/2015,6:30 PM,Bicycling for Bernie Meetup,http://www.meetup.com/Bicycling-for-Bernie-Meetup,http://www.meetup.com/Bicycling-for-Bernie-Meetup/events/224236822/,,
3,Street outreach for Bernie Sanders,CW,Union Square 14th Street and University Place New York NY ,NY,NONE,40.73521,-73.991692,8/4/2015,5:30 PM,NYC Democratic Socialists of America,http://www.meetup.com/nycdsa,http://www.meetup.com/nycdsa/events/224118686/,,
4,Montgomery County for Bernie Sanders meeting,CW,"Gordon Biersch 200 East Middle Lane, Unit A Rockville MD 20850 ",MD,20850,39.08527,-77.150742,8/4/2015,7:00 PM,Maryland Suburbs for Bernie Sanders,http://www.meetup.com/Maryland-Suburbs-for-Bernie-Sanders,http://www.meetup.com/Maryland-Suburbs-for-Bernie-Sanders/events/224248708/,,
5,We Want BERNIE Conference Call!,CW,Your phone Your phone Denver CO ,CO,NONE,39.740009,-104.992302,8/4/2015,7:00 PM,Liberal/Progressives Discussion and Activism,http://www.meetup.com/LiberalBoomersCo,http://www.meetup.com/LiberalBoomersCo/events/224336002/,,
6,Voter Registration Training,CW,4th Avenue Pub 76 4th Avenue Brooklyn NY 11217 ,NY,11217,40.682255,-73.979982,8/4/2015,7:00 PM,BERNIE SANDERS FOR PRESIDENT 2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016/events/224335969/,,
7,#OC4Bernie Core Leadership Team Meeting,CW,Meeting Room Near Irvine Spectrum Email OC4Bernie@gmail.com for address and details Irvine CA ,CA,NONE,33.74000168,-117.75,8/4/2015,7:15 PM,Orange County Politics - OC for Bernie Sanders,http://www.meetup.com/OC-for-Bernie-Sanders,http://www.meetup.com/OC-for-Bernie-Sanders/events/224326672/,,
8,PA For BERNIE SANDERS STATEWIDE COORDINATION,CW,,NONE,NONE,40.09999847,-75.11000061,8/4/2015,8:30 PM,PA - Bernie SANDERS FOR President,http://www.meetup.com/PA-Bernie-SANDERS-FOR-President,http://www.meetup.com/PA-Bernie-SANDERS-FOR-President/events/224307760/,,
9,Let's join the Progressive Democrats of America for a drink.,CW,Mercury Cafe 2199 California St Denver ,NONE,NONE,39.750702,-104.985222,8/5/2015,6:30 PM,Colorado for Bernie,http://www.meetup.com/Colorado-for-Bernie,http://www.meetup.com/Colorado-for-Bernie/events/224111860/,,
10,Voter Registration Training,CW,4th Avenue Pub 76 4th Avenue Brooklyn NY 11217 ,NY,11217,40.682255,-73.979982,8/5/2015,7:00 PM,BERNIE SANDERS FOR PRESIDENT 2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016/events/224121613/,,
11,Organizing Meetings - Actually we are now DOING!,CW,Theo's 812 Westheimer Houston TX ,TX,NONE,29.744921,-95.390106,8/5/2015,7:30 PM,Houstonians For Bernie Sanders,http://www.meetup.com/Houstonians-For-Bernie-Sanders,http://www.meetup.com/Houstonians-For-Bernie-Sanders/events/224078797/,,
12,SUMMER PROGRESS PARTY: Rooftop Mixer & GOP Debate/Jon Stewart Finale,E,"Cambria hotel & suites Washington, D.C. Convention Center 899 O St Nw Washington ",NONE,NONE,38.908947,-77.02346,8/6/2015,6:30 PM,Network For Progress,http://www.meetup.com/NetworkForProgress,http://www.meetup.com/NetworkForProgress/events/224249391/,,
13,Campaign for Bernie- Montrose Beach,CW,Montrose Ave Beach  4400 N Simonds Dr. Chicago IL 60640 ,IL,60640,41.967871,-87.644359,8/6/2015,7:00 PM,Bicycling for Bernie Meetup,http://www.meetup.com/Bicycling-for-Bernie-Meetup,http://www.meetup.com/Bicycling-for-Bernie-Meetup/events/224267117/,,
14,Republican Debates Bingo!,E,Pop Pub 83 University Place New York NY ,NY,NONE,40.73341,-73.992821,8/6/2015,7:00 PM,Young Journalists NYC,http://www.meetup.com/YoungJournalistsNYC,http://www.meetup.com/YoungJournalistsNYC/events/224279504/,,
15,Debate Watch Party at Fitzpatrick's Pub: RNC Debate #1,E,Fitzpatrick's Food & Spirits 1565 Laurens Rd Greenville SC ,SC,NONE,34.841953,-82.359261,8/6/2015,8:00 PM,South Carolina for Bernie Sanders 2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016/events/224185992/,,
16,Lets eat and plan new events,CW,"tapatio's 734 E Memorial Blvd, Lakeland, FL 33801 Lakeland FL ",FL,NONE,28.04000092,-81.94000244,8/7/2015,12:00 PM,Central Florida Bernie Sanders supporters,http://www.meetup.com/Central-Florida-Bernie-Sanders-supporters,http://www.meetup.com/Central-Florida-Bernie-Sanders-supporters/events/224364537/,,
